ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;FECHA_INSTALACION;MODELO
96877;163;CANILLAS;16;HORTALEZA;CALLE;CARRIL DEL CONDE;57;28043;2021-10-27 00:00:00.0;MU-51
96880;163;CANILLAS;16;HORTALEZA;PLAZA;NUESTRA SEÑORA DEL TRANSITO;12;28043;2019-01-29 00:00:00.0;MU-51
96873;163;CANILLAS;16;HORTALEZA;CARRETERA;CANILLAS;2;28043;2021-02-11 00:00:00.0;MU-51
96881;163;CANILLAS;16;HORTALEZA;CALLE;ROSA DE CASTRO;17;28043;2021-10-05 00:00:00.0;MU-51
97803;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;CALLE;ALBARRACIN;54;28037;2021-09-13 00:00:00.0;MU-51
97805;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;AVENIDA;VEINTICINCO DE SEPTIEMBRE;1;28027;2021-09-16 00:00:00.0;MU-51
97806;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;AVENIDA;VEINTICINCO DE SEPTIEMBRE;1;28027;2021-09-14 00:00:00.0;MU-51
97808;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;AVENIDA;VEINTICINCO DE SEPTIEMBRE;1;28027;2021-09-15 00:00:00.0;MU-51
98067;152;PUEBLO NUEVO;15;CIUDAD LINEAL;CALLE;GANDHI;12;28017;2021-10-21 00:00:00.0;MU-51
98242;207;CANILLEJAS;20;SAN BLAS - CANILLEJAS;CALLE;BOLTAÑA;11;28022;2021-10-20 00:00:00.0;MU-51
98068;152;PUEBLO NUEVO;15;CIUDAD LINEAL;CALLE;GANDHI;12;28017;2021-09-15 00:00:00.0;MU-51
98362;164;PINAR DEL REY;16;HORTALEZA;CALLE;MAR DE LAS ANTILLAS;6;28033;2021-10-18 00:00:00.0;MU-51
98378;166;VALDEFUENTES;16;HORTALEZA;CALLE;PRINCIPE CARLOS;36;28050;2021-09-27 00:00:00.0;MU-51
98382;166;VALDEFUENTES;16;HORTALEZA;CALLE;INFANTA CATALINA MICAELA;37;28050;2021-09-10 00:00:00.0;MU-51
98384;166;VALDEFUENTES;16;HORTALEZA;CALLE;OÑA;183;28050;2021-09-02 00:00:00.0;MU-51
98387;166;VALDEFUENTES;16;HORTALEZA;CALLE;OÑA;183;28050;2021-09-09 00:00:00.0;MU-51
98487;163;CANILLAS;16;HORTALEZA;CALLE;JAVIER DEL QUINTO;12;28043;2021-09-09 00:00:00.0;MU-51
63837;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;NORAY;13;28042;2019-01-28 00:00:00.0;MU-51
66417;204;ARCOS;20;SAN BLAS - CANILLEJAS;AVENIDA;GUADALAJARA;57;28032;2023-06-06 00:00:00.0;MU-51
67741;163;CANILLAS;16;HORTALEZA;CALLE;LAS PEDROÑERAS;39;28043;2021-09-14 00:00:00.0;MU-51
98502;161;PALOMAS;16;HORTALEZA;AVENIDA;ANDES;52;28042;2021-09-23 00:00:00.0;MU-51
98490;163;CANILLAS;16;HORTALEZA;CALLE;AREQUIPA;1;28043;2021-09-15 00:00:00.0;MU-51
98562;206;REJAS;20;SAN BLAS - CANILLEJAS;CALLE;PIRRA;14;28022;2021-09-09 00:00:00.0;MU-51
98553;203;AMPOSTA;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;89;28037;2021-09-09 00:00:00.0;MU-51
98561;206;REJAS;20;SAN BLAS - CANILLEJAS;CALLE;PIRRA;14;28022;2021-09-01 00:00:00.0;MU-51
98504;161;PALOMAS;16;HORTALEZA;AVENIDA;ANDES;52;28042;2022-09-23 00:00:00.0;MU-51
98625;203;AMPOSTA;20;SAN BLAS - CANILLEJAS;CALLE;ALBERIQUE;12;28037;2021-09-09 00:00:00.0;MU-51
98628;203;AMPOSTA;20;SAN BLAS - CANILLEJAS;CALLE;ALBERIQUE;12;28037;2021-09-17 00:00:00.0;MU-51
98651;159;COSTILLARES;15;CIUDAD LINEAL;CALLE;ANEMONAS;2;28033;2021-09-01 00:00:00.0;MU-51
98649;156;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;CALLE;SORZANO;1;28043;2021-09-14 00:00:00.0;MU-51
98653;159;COSTILLARES;15;CIUDAD LINEAL;CALLE;ANEMONAS;2;28033;2021-10-18 00:00:00.0;MU-51
98644;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;MARTINEZ VILLERGAS;50;28027;2021-09-08 00:00:00.0;MU-51
98637;154;LA CONCEPCIÓN;15;CIUDAD LINEAL;CALLE;LOPEZ DE ARANDA;5;28027;2021-09-07 00:00:00.0;MU-51
98638;154;LA CONCEPCIÓN;15;CIUDAD LINEAL;CALLE;LOPEZ DE ARANDA;5;28027;2021-09-06 00:00:00.0;MU-51
98658;159;COSTILLARES;15;CIUDAD LINEAL;CALLE;JAZMIN;15;28033;2021-09-08 00:00:00.0;MU-51
65238;163;CANILLAS;16;HORTALEZA;CALLE;MANZANAR;12;28043;2020-09-15 00:00:00.0;MU-51
98661;151;VENTAS;15;CIUDAD LINEAL;CALLE;NUESTRA SEÑORA DEL VILLAR;33;28017;2021-10-22 00:00:00.0;MU-51
72243;205;ROSAS;20;SAN BLAS - CANILLEJAS;AVENIDA;NIZA;8;28022;2019-01-29 00:00:00.0;MU-51
72246;152;PUEBLO NUEVO;15;CIUDAD LINEAL;CALLE;FRANCISCO RIOJA;14;28017;2021-09-14 00:00:00.0;MU-51
73170;215;CORRALEJOS;21;BARAJAS;CALLE;BAHIA DE MALAGA;5;28042;2023-09-19 00:00:00.0;MU-38
73182;151;VENTAS;15;CIUDAD LINEAL;AVENIDA;MARQUES DE CORBERA;6;28017;2021-09-16 00:00:00.0;MU-51
73187;166;VALDEFUENTES;16;HORTALEZA;CAMINO;MONTORO;6;28055;2021-09-16 00:00:00.0;MU-51
73198;211;ALAMEDA DE OSUNA;21;BARAJAS;AVENIDA;LOGROÑO;70;28042;2021-09-14 00:00:00.0;MU-51
76161;205;ROSAS;20;SAN BLAS - CANILLEJAS;CALLE;BUDAPEST;11;28022;2019-01-29 00:00:00.0;MU-51
75981;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;BERGANTIN;11;28042;2021-09-15 00:00:00.0;MU-51
76162;205;ROSAS;20;SAN BLAS - CANILLEJAS;CALLE;BUDAPEST;11;28022;2021-09-08 00:00:00.0;MU-51
76174;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;CALLE;MARIA LOMBILLO;2;28027;2019-02-28 00:00:00.0;MU-51
76192;154;LA CONCEPCIÓN;15;CIUDAD LINEAL;CALLE;JOSE DEL HIERRO;5;28027;2021-09-17 00:00:00.0;MU-51
78460;164;PINAR DEL REY;16;HORTALEZA;CALLE;AYACUCHO;30;28043;2021-09-22 00:00:00.0;MU-51
78767;165;APOSTOL SANTIAGO;16;HORTALEZA;CARRETERA;ESTACION DE HORTALEZA;11;28033;2021-05-06 00:00:00.0;MU-51
78499;213;CASCO HISTORICO DE BARAJAS;21;BARAJAS;CALLE;ORION;3;28042;2021-09-23 00:00:00.0;MU-51
84148;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;AMARA;4;28027;2019-01-29 00:00:00.0;MU-51
83245;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;BERGANTIN;11;28042;2019-01-29 00:00:00.0;MU-51
88593;156;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;CALLE;TREVIANA;1;28043;2021-02-11 00:00:00.0;MU-51
88156;152;PUEBLO NUEVO;15;CIUDAD LINEAL;CALLE;FRANCISCO RIOJA;14;28017;2021-09-16 00:00:00.0;MU-51
88157;152;PUEBLO NUEVO;15;CIUDAD LINEAL;CALLE;FRANCISCO RIOJA;14;28017;2023-09-19 00:00:00.0;MU-51
92972;163;CANILLAS;16;HORTALEZA;CALLE;EL PROVENCIO;20;28043;2021-09-24 00:00:00.0;MU-51
92974;163;CANILLAS;16;HORTALEZA;CALLE;TORQUEMADA;5;28043;2019-02-04 00:00:00.0;MU-51
92975;163;CANILLAS;16;HORTALEZA;CALLE;TORQUEMADA;5;28043;2021-09-23 00:00:00.0;MU-51
92977;163;CANILLAS;16;HORTALEZA;CALLE;MANZANAR;12;28043;2021-09-15 00:00:00.0;MU-51
94478;213;CASCO HISTORICO DE BARAJAS;21;BARAJAS;CALLE;ORION;5;28042;2021-09-15 00:00:00.0;MU-51
61945;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;CALLE;IQUITOS;20;28027;2022-08-23 00:00:00.0;MU-51
66646;163;CANILLAS;16;HORTALEZA;CALLE;PALERMO;48;28043;2023-06-07 00:00:00.0;MU-51
