Titulo,Anio,Valoracion,Genero
Soldado Azul,1970,7.7,Cine clásico
Gritos y susurros,1972,8.6,Cine clásico
6 días,2017,6.2,Acción
El primer gran asalto al tren,1978,9.0,Cine clásico
El misterio del rey del cinema,2014,8.1,Comedia
Ta'ang,2016,7.0,Documental
Geometría del esplendor,2017,8.2,Documental musical
La vida que amo,2014,8.3,Documental musical
Machines,2017,7.7,Documental
Fatima,2015,7.6,Drama
Chic!,2015,5.2,Comedia
Untitled,2017,8.3,Documental
Hunting Flies,2016,7.8,Drama
Yo soy el amor,2009,7.6,Romántica
The Beast is Still Alive,2016,6.4,Animación
How we played the revolution,2012,7.8,Documental musical
House of Others,2016,6.5,Drama
Cuento de primavera,1989,7.5,Cine clásico
No somos nada,2016,7.2,Documental musical
70 minutos para huir,1988,6.6,Cine clásico
Extraña forma de vida,2017,8.2,Documental
Cuento de verano,1996,7.8,Comedia
Sigo siendo,2013,7.9,Documental musical
Vivir y otras ficciones,2016,7.6,Documental
Mothertongue,2016,7.4,Documental
La película de nuestra vida,2016,6.4,Drama
Esa clase de amor,1962,7.9,Cine clásico
Climas,2014,4.0,Drama
Un secreto en la caja,2016,6.0,Documental
"Los Karamazoff, a walk on the SoHo years",2016,7.6,Documental
Mil cosas que haría por ti,2017,4.6,Comedia
Paths of the Soul,2015,8.4,Drama
El mar de la vida,2017,7.5,Documental
Lobo,2014,7.7,Drama
Las mil y una noches volumen 1: El Inquieto,2015,7.5,Documental
Las mil y una noches volumen 2: El Desconsolado,2015,7.3,Documental
Las mil y una noches volumen 3: El Embelesado,2015,5.8,Documental
Rescate en Osiris,2016,4.5,Acción
"Never Steady, Never Still",2017,5.8,Drama
Círculo Siniestro,2016,5.6,Terror
Ana y Yo,2013,7.0,Documental
Guardianes de la tumba,2018,4.6,Acción
Análisis de sangre azul,2016,7.3,Documental
Mister Universo,2016,7.5,Drama
En legítima defensa,1947,8.0,Cine clásico
Los Amantes de Montparnasse,1958,7.7,Cine clásico
Call TV,2017,6.5,Thriller
Morir,2017,7.5,Drama
Pasaporte para Pimlico,1949,7.6,Cine clásico
Matar al Mensajero,2014,7.5,Thriller
Un golpe brillante,2013,5.8,Comedia
Un Invierno en la Playa,2013,7.0,Romántica
Como la espuma,2017,4.8,Erótica
La infancia de un líder,2015,7.0,Drama
Los secretos de Paula Rego,2017,8.9,Documental
Las estaciones,2015,8.4,Documental
Vida Vaquera,2016,6.8,Documental
MicroClima Sound,2017,5.6,Documental musical
Más allá de las montañas,2015,7.4,Drama
Fuerza Mayor,2015,7.4,Comedia
Oldboy,2003,8.3,Thriller
Rehenes,2017,7.1,Drama
Atraco en Familia,2017,5.8,Comedia
El Extranjero,2017,7.2,Thriller
"Cannes, ciudad del miedo",1994,6.8,Comedia
Ensayo para una revolución,2016,7.0,Drama
The Host,2007,7.0,Ciencia ficción
Corazones en Tinieblas,1991,8.2,Documental
World of Darkness,2017,7.9,Documental
Hard as indie,2017,7.6,Documental
Ha llegado un inspector (1954),1954,8.0,Cine clásico
La Maldita Primavera,2017,6.3,Comedia
El hotel de los fantasmas,1988,6.0,Terror
The House,2017,4.7,Terror
Libéranos,2016,6.7,Terror
Renta Básica,2017,8.0,Documental
Atraco perfecto,1956,8.5,Cine clásico
En la vía láctea,2016,7.0,Drama
La Odisea de Alice,2014,7.0,Drama
Historias Extraordinarias,1968,6.7,Thriller
Medidas extremas,2016,6.9,Thriller
A 47 metros,2016,6.5,Terror
La hora del cambio,2017,6.2,Comedia
El nadador,1968,8.0,Drama
La muerte de Luis XIV,2016,7.7,Drama
Open Water: Inmersión Extrema,2017,5.1,Thriller
Easy Rider (Buscando mi destino),1969,7.9,Cine clásico
Need for Meat,2016,4.8,Documental
Citizen Jane,2016,8.5,Documental
Sonita,2015,8.8,Documental
Ángeles sin paraíso,1963,7.9,Cine clásico
Vida y Muerte de un Arquitecto,2017,7.6,Documental
Braven,2018,5.0,Acción
Fahrenheit 451,1966,7.9,Ciencia ficción
Mara y el señor del fuego,2015,7.2,Aventuras
¿Qué invadimos ahora?,2015,7.5,Documental
Gang of the Jotas,2012,5.7,Comedia
El cartero (y Pablo Neruda),1994,8.1,Comedia
Mundo futuro,1976,5.8,Ciencia ficción
Joaquim,2017,6.3,Biopic
Asesinos,2015,7.2,Acción
El abrazo de la serpiente,2015,8.1,Drama
Brava,2017,6.6,Drama
Oda a mi padre,2014,7.5,Drama
Remember,2015,7.5,Thriller
Dior y yo,2014,7.9,Documental
Clase Valiente,2016,7.6,Documental
The Reagan Show,2017,7.5,Documental
Operación Avalancha,2016,7.1,Documental
Searching for Sugar Man,2012,8.9,Documental musical
Terminator 2: El juicio final,1991,8.6,Acción
Aurora,2017,7.0,Comedia
Barbacoa de amigos,2014,6.4,Comedia
Chavela,2017,8.6,Documental musical
From Business to Being,2016,7.5,Documental
Daguerrotipo,2016,6.2,Drama
"El Mar, de John Banville",2014,6.5,Drama
Lo importante es amar,1975,7.5,Drama
Indiscreta,1958,7.4,Cine clásico
El Guateque,1968,7.7,Cine clásico
Tommy,1975,6.6,Cine clásico
Un héroe muy discreto,1996,7.6,Cine clásico
El Hijo de Saúl,2015,7.9,Drama
Diplomacia,2014,7.7,Drama
Ancien y el mundo mágico,2017,8.0,Drama
Kedi (Gatos de Estambul),2016,8.2,Documental
Your Name,2016,8.5,Ciencia ficción
La comunidad de los corazones rotos,2015,7.3,Drama
"Freeheld, un amor incondicional",2015,7.2,Drama
O los tres o ninguno,2015,8.0,Comedia
Seventeen,2017,6.8,Drama
La mejor generación,2016,6.9,Drama
Park,2016,7.0,Drama
Home,2016,7.4,Drama
Entre los dos,2015,7.4,Drama
Brimstone,2016,6.8,Thriller
Sara Baras. Todas las voces,2017,7.6,Documental
Retrato de Sasha Waltz,2014,7.4,Documental
Uncle Howard,2016,7.6,Drama
Cartas de la guerra,2016,7.1,Drama
Poesía sin fin,2016,7.4,Drama
El día más feliz en la vida de Olli Mäki,2016,7.3,Romántica
Maravilloso Boccaccio,2015,7.2,Comedia
Lo que hacemos en las sombras,2014,7.8,Terror
El Congreso,2013,7.5,Animación
Ataque a los titanes,2015,6.0,Acción
Ataque a los Titanes 2: El fin del mundo,2015,6.2,Acción
Point Blank,2016,7.4,Thriller
Just Eat It,2014,7.4,Documental
"Robert Frank, la mirada de América",2015,7.8,Documental
"Vita Activa, el espíritu de Hannah Arendt",2015,8.4,Documental
Robert Doisneau: a través de la lente,2016,8.2,Documental
SuperBob,2015,6.9,Romántica
El Cuento de los Cuentos,2015,6.8,Aventuras
Absolutamente Todo,2015,6.4,Comedia
Los caballos de Dios,2012,8.0,Drama
Un paseo por el bosque,2015,6.8,Comedia
45 años,2015,7.7,Drama
La Gran Belleza,2013,8.4,Drama
Mariposa Negra,2017,6.4,Thriller
Victoria,2015,8.0,Thriller
Cut Bank,2014,6.8,Acción
Blue Ruin,2013,7.2,Acción
Desire will set you free,2015,5.9,Drama
Wasp,2015,6.1,Romántica
